GeneName	Start	End
LL0YNC03-29C1.1	120410	121758
PLCXD1	142989	170023
GTPBP6	170025	180886
LINC00685	231725	232586
PPP2R3B	244698	297690
AL732314.1	375316	375416
FABP5P13	434510	434837
KRT18P53	455971	456087
SHOX	535079	570146
RP11-309M23.1	900956	905100
RPL14P5	919238	920836
CRLF2	1264890	1281616
CSF2RA	1337693	1379274
BX649553.3	1360648	1360721
BX649553.4	1360987	1361060
BX649553.2	1362508	1362582
MIR3690	1362811	1362885
BX649553.1	1363025	1363099
RNA5SP498	1369149	1369268
RN7SL355P	1387739	1388052
IL3RA	1405509	1451578
SLC25A6	1455045	1461617
LINC00106	1465320	1468295
ASMTL-AS1	1470662	1482921
ASMTL	1472032	1522655
P2RY8	1531465	1606000
AKAP17A	1660486	1671407
ASMT	1683894	1711974
RP13-297E16.4	1801477	1824878
RP13-297E16.5	1836240	1837669
DHRSX	2087557	2370846
DHRSX-IT1	2202336	2204451
ZBED1	2354455	2369008
CD99P1	2477389	2525270
LINC00102	2481029	2483388
CD99	2559220	2609350
RNU6-1334P	2652790	2652894
SRY	2654896	2655740
RNASEH2CP1	2657868	2658369
TOMM22P2	2696023	2696259
RPS4Y1	2709527	2800041
HSFY3P	2749724	2751693
NAP1L1P2	2797042	2799161
ZFY	2803112	2850547
ZFY-AS1	2834885	2870667
EEF1A1P41	2863108	2863314
LINC00278	2870953	2970313
AGPAT5P1	3161849	3162867
PRRC2CP1	3417693	3417851
TGIF2LY	3447082	3448082
USP12PY	3550846	3551909
RNF19BPY	3646038	3647587
AC012078.2	3719265	3720910
UBE2V1P3	3734347	3734763
AC010084.1	3904538	3968361
RNU6-303P	4043026	4043131
SERBP1P2	4669726	4670889
PCDH11Y	4868267	5610265
RNU2-57P	4887117	4887307
VDAC1P6	5075256	5076110
EIF4A1P2	5205786	5207005
AC012067.1	5306691	5312605
KRT18P10	5441186	5442472
AC012667.1	5441969	5442060
RPL26P37	5661341	5661778
AC010874.1	5742287	5742379
DLGAP5P1	6026843	6027306
AC006335.2	6109809	6111670
TTTY23B	6110487	6111651
AC006335.6	6111336	6113324
TSPY2	6114264	6117060
FAM197Y9	6124308	6131994
TSPY11P	6134634	6137316
TSPY19P	6171998	6173115
AC006335.10	6174083	6175961
AC006335.11	6175751	6177628
RBMY2GP	6196093	6211364
LINC00280	6225260	6229454
TTTY1B	6258472	6279605
TTTY2B	6274285	6292186
TTTY21B	6311475	6315118
TTTY7	6317509	6325947
TTTY8B	6338814	6341671
AC010154.2	6361017	6364798
TSPY17P	6388504	6388970
SRIP3	6587003	6587221
GOT2P5	6705748	6706293
AMELY	6733959	6742068
ATP5JP1	6768794	6769413
TBL1Y	6778727	6959724
GPR143P	6968774	6974543
PRKY	7142013	7249589
RN7SKP282	7192338	7192636
Y_RNA	7209572	7209683
RNU6-941P	7246713	7246820
RNU6-521P	7291095	7291199
RBMY2HP	7539784	7544065
AC007274.2	7546940	7549069
TSPY12P	7555780	7557589
AC007274.5	7558552	7560719
TTTY16	7567398	7569288
RFTN1P1	7581026	7677302
TTTY12	7672965	7678724
ZNF92P1Y	7721727	7722917
ZNF736P8Y	7781463	7782131
BPY2DP	7801038	7805681
ZNF736P7Y	7859028	7859847
ZNF736P9Y	7936937	7938764
RBMY2JP	7995171	8012244
RBMY2KP	8132490	8145229
TSPY24P	8148239	8150250
ZNF736P6Y	8218972	8220184
MTND6P1	8231577	8232000
MTCYBP1	8232073	8233191
MTND1P1	8239704	8240071
MTND2P3	8240282	8240751
TRIM60P3Y	8281078	8282095
ZNF736P10Y	8286832	8287941
LINC00279	8506335	8512883
TTTY18	8551411	8551919
TTTY19	8572513	8573324
TTTY11	8651351	8685423
AC007967.2	8769244	8771317
AC007967.3	8774265	8784114
AC007967.4	8839792	8842136
OFD1P3Y	8898635	8908029
CDY3P	9003694	9005311
USP9YP22	9021303	9023412
USP9YP4	9027238	9042220
TCEB1P4	9068524	9068856
RBMY1A3P	9148739	9160483
TTTY20	9167489	9172441
TSPY4	9175073	9177893
FAM197Y8	9185120	9193010
TSPY8	9195406	9218479
FAM197Y7	9205412	9235047
TSPY7P	9215731	9218480
FAM197Y6	9225731	9233636
TSPY3	9236030	9307357
TSPY1	9236076	9307357
AC006156.1	9293012	9344176
TSPY6P	9324922	9327689
FAM197Y3	9334896	9342768
AC006156.2	9345205	9347784
FAM197Y2	9355208	9364506
TSPY10	9365489	9368291
FAM197Y1	9374241	9384693
TSPY15P	9385717	9388290
RBMY3AP	9448180	9458885
TSPY25P	9461792	9463961
TSPY16P	9477858	9478325
AC017019.1	9502838	9506619
TTTY8	9528709	9531566
TTTY7B	9544433	9552871
TTTY21	9555262	9558905
TTTY2	9578193	9596085
TTTY1	9590765	9611898
TTTY22	9638762	9650854
AC010891.2	9650924	9655122
RBMY2NP	9669027	9684305
TSPY18P	9707273	9708390
TSPY13P	9743204	9745748
TTTY23	9748407	9749571
RBMY2OP	9789162	9797032
RBMY2QP	9860098	9871796
TSPY20P	9873804	9875984
TSPY5P	9904163	9906760
AC006987.4	9925635	9927195
RNA5SP518	9928019	9928137
AC006987.5	9928411	9928816
RNA5SP519	9930484	9930602
AC006987.6	10007397	10007923
AC006987.7	10009199	10010334
PCMTD1P1	10011462	10011816
CDC27P2	10027986	10029907
AC010970.1	10033981	10034093
AC010970.2	10036113	10036711
RNA5-8SP6	10037764	10037915
RP1-85D24.3	13262741	13262939
RP1-85D24.2	13263065	13263272
RP1-85D24.1	13263395	13263563
AC134878.2	13340359	13340440
AC134878.1	13340551	13340633
DUX4L16	13462594	13463857
DUX4L17	13470597	13471863
DUX4L18	13477233	13478499
DUX4L19	13488005	13489271
PABPC1P5	13491303	13493369
SLC9B1P1	13496241	13524717
RP11-295P22.1	13551375	13552752
RP11-295P22.2	13629403	13629913
RCC2P1	13901758	13903233
AC011293.1	13947443	13947512
ASS1P6	14043242	14044475
MXRA5P1	14077914	14108092
RPS24P1	14365457	14366162
ARSFP1	14373025	14378737
RN7SL702P	14394177	14394465
FAM8A4P	14442350	14443562
ARSEP1	14460540	14468226
ARSDP1	14474827	14499123
GYG2P1	14475147	14532255
AC002992.1	14482123	14482230
XGPY	14551845	14619171
SHROOM2P1	14649708	14656818
MED14P1	14730915	14746333
TTTY15	14774265	14804162
USP9Y	14813160	14972764
CDY4P	14913906	14915763
DDX3Y	15016019	15032390
CASKP1	15042075	15060090
SFPQP1	15195704	15207719
TAB3P1	15265842	15274125
DPPA2P1	15342765	15343320
UTY	15360259	15592553
PSMA6P1	15398518	15399258
AC010877.1	15418467	15429181
AC006371.1	15779840	15779936
TMSB4Y	15815447	15817904
KALP	15863536	16027704
VCY	16097652	16098393
VCY1B	16168097	16168838
PNPLA4P1	16192955	16198480
AC010723.2	16364065	16364171
AC010723.1	16388092	16389369
NLGN4Y	16634518	16957530
AGKP1	16750976	16752238
NLGN4Y-AS1	16905522	16915913
MED13P1	17019778	17019948
CYCSP46	17053427	17053630
AC006989.2	17053626	17054595
HDHD1P1	17460542	17567954
STSP1	17659096	17705211
AC017020.1	18174646	18174709
SNORA20	18250128	18250259
RNU6-109P	18360815	18360921
AC053516.1	18398127	18398238
RNU6-184P	18448163	18448269
SURF6P1	19304706	19305532
TCEB1P35	19576759	19577094
FAM41AY1	19612838	19626898
TUBB1P2	19628716	19630918
FAM224B	19664680	19691634
RNA5SP520	19669744	19669856
RNA5SP521	19671654	19671769
CLUHP1	19733139	19737712
AC068704.1	19734941	19735035
TAF9P1	19740393	19741282
CDY5P	19833478	19835057
AC007742.3	19838632	19838960
PRYP1	19841408	19856476
ACTG1P2	19868881	19870005
AC007742.7	19880862	19889280
USP9YP23	19894090	19896695
USP9YP27	19900195	19901364
RNU1-128P	19900883	19901042
TRAPPC2P3	19909863	19912576
OFD1P1Y	19921687	19937209
TCEB1P6	19949081	19949408
CDY2B	19989290	19992100
CDY6P	19993979	19995588
USP9YP7	20020635	20022686
USP9YP6	20024579	20033510
CDY7P	20063469	20065380
USP9YP34	20096229	20105140
USP9YP32	20107081	20109132
CDY8P	20134179	20135788
CDY2A	20137667	20140477
TCEB1P12	20230369	20230696
OFD1P2Y	20242567	20258088
TRAPPC2P8	20267200	20269988
USP9YP15	20278413	20279581
RNU1-95P	20278734	20278893
USP9YP16	20283081	20285685
AC024183.3	20290496	20298913
ACTG1P11	20309770	20310894
PRYP2	20323252	20338370
TCEB1P26	20340818	20341146
CDY9P	20344721	20346300
TAF9P2	20438493	20439381
CLUHP2	20442064	20446647
AC007241.1	20444739	20444833
FAM224A	20488139	20515096
RNA5SP522	20508009	20508124
RNA5SP523	20509921	20510033
TUBB1P1	20548860	20551037
FAM41AY2	20552880	20566932
TCEB1P13	20602683	20603011
OFD1P4Y	20615036	20634023
USP9YP14	20642973	20649286
RNU1-48P	20648397	20648558
USP9YP5	20652801	20656181
AC022486.1	20653626	20709584
XKRYP1	20670463	20670954
PRYP5	20691244	20691509
TCEB1P7	20694212	20694542
USP9YP1	20702866	20706014
HSFY1	20708557	20750849
GPM6BP1	20740303	20740446
TTTY9B	20743092	20752407
OFD1P5Y	20743949	20790963
RAB9AP4	20811557	20812165
TRAPPC2P7	20817406	20818076
OFD1P6Y	20835919	20901083
HSFY2	20893326	20990548
GPM6BP2	20903729	20903872
USP9YP2	20938165	20941313
